"tax_year","income_tax_nics","relief_charge","breakdown","nics_relief_class","value"
"2019 to 2020 ","Income Tax","Gross relief","Total","Not applicable",41700
"2019 to 2020 ","Income Tax","Gross relief","Net pay arrangement contributions by employees","Not applicable",4300
"2019 to 2020 ","Income Tax","Gross relief","Net pay arrangement contributions by employers","Not applicable",15000
"2019 to 2020 ","Income Tax","Gross relief","Relief at source scheme contributions by employees","Not applicable",2800
"2019 to 2020 ","Income Tax","Gross relief","Relief at source scheme contributions by self-employed individuals","Not applicable",600
"2019 to 2020 ","Income Tax","Gross relief","Relief at source scheme contributions by employers","Not applicable",5600
"2019 to 2020 ","Income Tax","Gross relief","Salary sacrificed contributions by employees","Not applicable",4300
"2019 to 2020 ","Income Tax","Gross relief","Deficit reduction contributions by employers","Not applicable",4900
"2019 to 2020 ","Income Tax","Gross relief","Investment income of pension funds","Not applicable",4200
"2019 to 2020 ","NICs","Gross relief","Total","Total",21800
"2019 to 2020 ","NICs","Gross relief","Employer contributions","Class 1 Primary (employee)",6900
"2019 to 2020 ","NICs","Gross relief","Employer contributions","Class 1 Secondary (employer)",12000
"2019 to 2020 ","NICs","Gross relief","Salary sacrificed contributions","Class 1 Primary (employee)",900
"2019 to 2020 ","NICs","Gross relief","Salary sacrificed contributions","Class 1 Secondary (employer)",1900
"2019 to 2020 ","Total","Gross relief","Total","Total",63500
"2019 to 2020 ","Income Tax","Charge","Total","Not applicable",18600
"2019 to 2020 ","Income Tax","Charge","Income tax liable on payments from pension schemes","Not applicable",17900
"2019 to 2020 ","Income Tax","Charge","Annual allowance charges","Not applicable",400
"2019 to 2020 ","Income Tax","Charge","Lifetime allowance charges","Not applicable",300
"2019 to 2020 ","Total","Net relief","Total","Total",44900
"2020 to 2021 ","Income Tax","Gross relief","Total","Not applicable",44500
"2020 to 2021 ","Income Tax","Gross relief","Net pay arrangement contributions by employees","Not applicable",4700
"2020 to 2021 ","Income Tax","Gross relief","Net pay arrangement contributions by employers","Not applicable",15800
"2020 to 2021 ","Income Tax","Gross relief","Relief at source scheme contributions by employees","Not applicable",3300
"2020 to 2021 ","Income Tax","Gross relief","Relief at source scheme contributions by self-employed individuals","Not applicable",700
"2020 to 2021 ","Income Tax","Gross relief","Relief at source scheme contributions by employers","Not applicable",5900
"2020 to 2021 ","Income Tax","Gross relief","Salary sacrificed contributions by employees","Not applicable",4700
"2020 to 2021 ","Income Tax","Gross relief","Deficit reduction contributions by employers","Not applicable",5600
"2020 to 2021 ","Income Tax","Gross relief","Investment income of pension funds","Not applicable",4000
"2020 to 2021 ","NICs","Gross relief","Total","Total",23600
"2020 to 2021 ","NICs","Gross relief","Employer contributions","Class 1 Primary (employee)",7500
"2020 to 2021 ","NICs","Gross relief","Employer contributions","Class 1 Secondary (employer)",13000
"2020 to 2021 ","NICs","Gross relief","Salary sacrificed contributions","Class 1 Primary (employee)",1000
"2020 to 2021 ","NICs","Gross relief","Salary sacrificed contributions","Class 1 Secondary (employer)",2100
"2020 to 2021 ","Total","Gross relief","Total","Total",68100
"2020 to 2021 ","Income Tax","Charge","Total","Not applicable",19100
"2020 to 2021 ","Income Tax","Charge","Income tax liable on payments from pension schemes","Not applicable",18300
"2020 to 2021 ","Income Tax","Charge","Annual allowance charges","Not applicable",300
"2020 to 2021 ","Income Tax","Charge","Lifetime allowance charges","Not applicable",400
"2020 to 2021 ","Total","Net relief","Total","Total",49000
"2021 to 2022 ","Income Tax","Gross relief","Total","Not applicable",45500
"2021 to 2022 ","Income Tax","Gross relief","Net pay arrangement contributions by employees","Not applicable",5100
"2021 to 2022 ","Income Tax","Gross relief","Net pay arrangement contributions by employers","Not applicable",16100
"2021 to 2022 ","Income Tax","Gross relief","Relief at source scheme contributions by employees","Not applicable",3600
"2021 to 2022 ","Income Tax","Gross relief","Relief at source scheme contributions by self-employed individuals","Not applicable",800
"2021 to 2022 ","Income Tax","Gross relief","Relief at source scheme contributions by employers","Not applicable",5900
"2021 to 2022 ","Income Tax","Gross relief","Salary sacrificed contributions by employees","Not applicable",5100
"2021 to 2022 ","Income Tax","Gross relief","Deficit reduction contributions by employers","Not applicable",4500
"2021 to 2022 ","Income Tax","Gross relief","Investment income of pension funds","Not applicable",4300
"2021 to 2022 ","NICs","Gross relief","Total","Total",22800
"2021 to 2022 ","NICs","Gross relief","Employer contributions","Class 1 Primary (employee)",7000
"2021 to 2022 ","NICs","Gross relief","Employer contributions","Class 1 Secondary (employer)",12400
"2021 to 2022 ","NICs","Gross relief","Salary sacrificed contributions","Class 1 Primary (employee)",1100
"2021 to 2022 ","NICs","Gross relief","Salary sacrificed contributions","Class 1 Secondary (employer)",2200
"2021 to 2022 ","Total","Gross relief","Total","Total",68300
"2021 to 2022 ","Income Tax","Charge","Total","Not applicable",20500
"2021 to 2022 ","Income Tax","Charge","Income tax liable on payments from pension schemes","Not applicable",19500
"2021 to 2022 ","Income Tax","Charge","Annual allowance charges","Not applicable",600
"2021 to 2022 ","Income Tax","Charge","Lifetime allowance charges","Not applicable",500
"2021 to 2022 ","Total","Net relief","Total","Total",47700
"2022 to 2023 ","Income Tax","Gross relief","Total","Not applicable",47800
"2022 to 2023 ","Income Tax","Gross relief","Net pay arrangement contributions by employees","Not applicable",5500
"2022 to 2023 ","Income Tax","Gross relief","Net pay arrangement contributions by employers","Not applicable",17400
"2022 to 2023 ","Income Tax","Gross relief","Relief at source scheme contributions by employees","Not applicable",3900
"2022 to 2023 ","Income Tax","Gross relief","Relief at source scheme contributions by self-employed individuals","Not applicable",800
"2022 to 2023 ","Income Tax","Gross relief","Relief at source scheme contributions by employers","Not applicable",6700
"2022 to 2023 ","Income Tax","Gross relief","Salary sacrificed contributions by employees","Not applicable",6000
"2022 to 2023 ","Income Tax","Gross relief","Deficit reduction contributions by employers","Not applicable",3100
"2022 to 2023 ","Income Tax","Gross relief","Investment income of pension funds","Not applicable",4500
"2022 to 2023 ","NICs","Gross relief","Total","Total",24300
"2022 to 2023 ","NICs","Gross relief","Employer contributions","Class 1 Primary (employee)",7300
"2022 to 2023 ","NICs","Gross relief","Employer contributions","Class 1 Secondary (employer)",13100
"2022 to 2023 ","NICs","Gross relief","Salary sacrificed contributions","Class 1 Primary (employee)",1300
"2022 to 2023 ","NICs","Gross relief","Salary sacrificed contributions","Class 1 Secondary (employer)",2600
"2022 to 2023 ","Total","Gross relief","Total","Total",72100
"2022 to 2023 ","Income Tax","Charge","Total","Not applicable",21900
"2022 to 2023 ","Income Tax","Charge","Income tax liable on payments from pension schemes","Not applicable",21100
"2022 to 2023 ","Income Tax","Charge","Annual allowance charges","Not applicable",300
"2022 to 2023 ","Income Tax","Charge","Lifetime allowance charges","Not applicable",500
"2022 to 2023 ","Total","Net relief","Total","Total",50100
"2023 to 2024 ","Income Tax","Gross relief","Total","Not applicable",54800
"2023 to 2024 ","Income Tax","Gross relief","Net pay arrangement contributions by employees","Not applicable",6400
"2023 to 2024 ","Income Tax","Gross relief","Net pay arrangement contributions by employers","Not applicable",21100
"2023 to 2024 ","Income Tax","Gross relief","Relief at source scheme contributions by employees","Not applicable",4400
"2023 to 2024 ","Income Tax","Gross relief","Relief at source scheme contributions by self-employed individuals","Not applicable",1000
"2023 to 2024 ","Income Tax","Gross relief","Relief at source scheme contributions by employers","Not applicable",8200
"2023 to 2024 ","Income Tax","Gross relief","Salary sacrificed contributions by employees","Not applicable",7200
"2023 to 2024 ","Income Tax","Gross relief","Deficit reduction contributions by employers","Not applicable",2100
"2023 to 2024 ","Income Tax","Gross relief","Investment income of pension funds","Not applicable",4300
"2023 to 2024 ","NICs","Gross relief","Total","Total",24200
"2023 to 2024 ","NICs","Gross relief","Employer contributions","Class 1 Primary (employee)",6500
"2023 to 2024 ","NICs","Gross relief","Employer contributions","Class 1 Secondary (employer)",13700
"2023 to 2024 ","NICs","Gross relief","Salary sacrificed contributions","Class 1 Primary (employee)",1200
"2023 to 2024 ","NICs","Gross relief","Salary sacrificed contributions","Class 1 Secondary (employer)",2900
"2023 to 2024 ","Total","Gross relief","Total","Total",79000
"2023 to 2024 ","Income Tax","Charge","Total","Not applicable",25600
"2023 to 2024 ","Income Tax","Charge","Income tax liable on payments from pension schemes","Not applicable",25400
"2023 to 2024 ","Income Tax","Charge","Annual allowance charges","Not applicable",200
"2023 to 2024 ","Income Tax","Charge","Lifetime allowance charges","Not applicable",0
"2023 to 2024 ","Total","Net relief","Total","Total",53400
"2024 to 2025 ","Income Tax","Gross relief","Total","Not applicable",60400
"2024 to 2025 ","Income Tax","Gross relief","Net pay arrangement contributions by employees","Not applicable",7000
"2024 to 2025 ","Income Tax","Gross relief","Net pay arrangement contributions by employers","Not applicable",23400
"2024 to 2025 ","Income Tax","Gross relief","Relief at source scheme contributions by employees","Not applicable",4800
"2024 to 2025 ","Income Tax","Gross relief","Relief at source scheme contributions by self-employed individuals","Not applicable",1100
"2024 to 2025 ","Income Tax","Gross relief","Relief at source scheme contributions by employers","Not applicable",9200
"2024 to 2025 ","Income Tax","Gross relief","Salary sacrificed contributions by employees","Not applicable",8800
"2024 to 2025 ","Income Tax","Gross relief","Deficit reduction contributions by employers","Not applicable",1400
"2024 to 2025 ","Income Tax","Gross relief","Investment income of pension funds","Not applicable",4700
"2024 to 2025 ","NICs","Gross relief","Total","Total",23500
"2024 to 2025 ","NICs","Gross relief","Employer contributions","Class 1 Primary (employee)",4800
"2024 to 2025 ","NICs","Gross relief","Employer contributions","Class 1 Secondary (employer)",14300
"2024 to 2025 ","NICs","Gross relief","Salary sacrificed contributions","Class 1 Primary (employee)",1000
"2024 to 2025 ","NICs","Gross relief","Salary sacrificed contributions","Class 1 Secondary (employer)",3400
"2024 to 2025 ","Total","Gross relief","Total","Total",83900
"2024 to 2025 ","Income Tax","Charge","Total","Not applicable",30100
"2024 to 2025 ","Income Tax","Charge","Income tax liable on payments from pension schemes","Not applicable",29800
"2024 to 2025 ","Income Tax","Charge","Annual allowance charges","Not applicable",300
"2024 to 2025 ","Income Tax","Charge","Lifetime allowance charges","Not applicable",0
"2024 to 2025 ","Total","Net relief","Total","Total",53800
